Buchungsdatum	Belegdatum	Belegnummer	Buchungskreis	Werk	Kostenstelle	Materialnummer	Menge	Mengeneinheit	Nettobetrag	Waehrung	Buchungstext
15.01.2024	12.01.2024	4900012301	GB01	1000	4210	1000024	1250.00	L	2102.50	GBP	Diesel fuel fleet vehicles Hamburg
18.01.2024	16.01.2024	4900012302	GB01	1000	4210	1000024	980.50	L	1648.24	GBP	Diesel Kraftstoff LKW
22.01.2024	20.01.2024	4900012303	GB01	2000	4310	1000025	430.00	L	726.70	GBP	Benzin Fuhrpark Muenchen
25.01.2024	23.01.2024	4900012304	GB01	1000	4210	1000024	2100.00	L	3528.00	GBP	Diesel fleet Hamburg January
28.01.2024	26.01.2024	4900012305	GB01	2000	4310	1000031	850.00	M3	1734.00	GBP	Erdgas Heizung Munich plant
02.02.2024	01.02.2024	4900012401	GB01	1000	4210	1000024	1560.00	L	2620.80	GBP	Diesel fuel trucks
05.02.2024	03.02.2024	4900012402	GB01	3000	4510	1000024	320.00	GAL	2160.00	GBP	Diesel fuel London depot gallons
08.02.2024	06.02.2024	4900012403	GB01	2000	4310	1000025	610.00	L	1030.90	GBP	Petrol company cars Munich
12.02.2024	10.02.2024	4900012404	GB01	1000	4210	1000024	1890.00	L	3175.20	GBP	Diesel Kraftstoff Februar
15.02.2024	13.02.2024	4900012405	GB01	2000	4310	1000031	1200.00	M3	2448.00	GBP	Erdgas Februar Heizung
19.02.2024	17.02.2024	4900012406	GB01	1000	4215	1000032	450.00	L	702.00	GBP	LPG forklift fuel Hamburg
22.02.2024	20.02.2024	4900012407	GB01	3000	4510	1000024	280.00	GAL	1890.00	GBP	Diesel London depot Feb
26.02.2024	24.02.2024	4900012408	GB01	2000	4310	1000025	520.00	L	879.00	GBP	Benzin Firmenwagen
01.03.2024	28.02.2024	4900012501	GB01	1000	4210	1000024	2340.00	L	3931.20	GBP	Diesel fleet March
04.03.2024	02.03.2024	4900012502	GB01	4000	4610	1000024	175.00	L	294.00	GBP	Diesel Paris office generator
07.03.2024	05.03.2024	4900012503	GB01	2000	4310	1000031	950.00	M3	1938.00	GBP	Natural gas heating March
11.03.2024	09.03.2024	4900012504	GB01	1000	4210	1000040	1100.00	L	1848.00	GBP	Red diesel off-road machinery
14.03.2024	12.03.2024	4900012505	GB01	2000	4310	1000025	680.00	L	1149.20	GBP	Petrol fleet vehicles
18.03.2024	16.03.2024	4900012506	GB01	1000	4215	1000032	380.00	L	593.20	GBP	LPG Gabelstapler Hamburg
21.03.2024	19.03.2024	4900012507	GB01	3000	4510	1000024	410.00	GAL	2770.50	GBP	Diesel depot March gallons
25.03.2024	23.03.2024	4900012508	GB01	2000	4310	1000031	1050.00	M3	2142.00	GBP	Erdgas Maerz
28.03.2024	26.03.2024	4900012509	GB01	1000	4210	1000024	1780.00	L	2990.40	GBP	Diesel Kraftstoff Maerz
01.04.2024	30.03.2024	4900012601	GB01	2000	4310	1000025	590.00	L	997.10	GBP	Petrol company vehicles April
04.04.2024	02.04.2024	4900012602	GB01	9999	4210	1000024	950.00	L	1596.00	GBP	Diesel unknown plant
08.04.2024	06.04.2024	4900012603	GB01	1000	4210	1000024	2050.00	L	3444.00	GBP	Diesel fleet April
12.04.2024	10.04.2024	4900012604	GB01	2000	4310		750.00	M3	1530.00	GBP	Erdgas plant heating (no material)
15.04.2024	13.04.2024	4900012605	GB01	9999	4510	1000041	300.00	L	504.00	GBP	HVO fuel unknown plant suspicious
19.04.2024	17.04.2024	4900012606	GB01	1000	4215	1000032	420.00	L	655.20	GBP	LPG April forklifts
22.04.2024	20.04.2024	4900012607	GB01	3000	4510	1000024	360.00	GAL	2430.00	GBP	Diesel London April
